,profile_id,name,number
224,79,MongoDB for Java Developers from MongoDB University,-
225,79,RedHat Openstack Technical Overview,CL010
226,80,AP Calculus BC,
227,80,AP Computer Science,
228,80,AP English Literature,
229,80,AP Macroeconomics,
230,80,AP Microeconomics,
231,80,AP Physics C: Electricity and Magnetism,
232,80,AP Physics C: Mechanics,
233,80,AP Spanish Language,
234,80,AP Spanish Literature,
235,80,APMA 1650: Statistical Inference,
236,80,CS 1260: Compilers and Program Analysis,
237,80,CS 1420: Machine Learning,
238,80,CS 1460: Computational Linguistics,
239,80,CS 1570: Algorithms,
240,80,CS 1730: Programming Languages,
241,80,CS 1950Y: Logic for Systems (Formal Methods),
242,80,CS 2950K: Deep Learning,
243,80,CS 2951K: Language for Robotics and Reinforcement Learning,
244,80,ENGL 710L: Ishiguro,
245,80,LITR 1230E: Form and Theory of Fiction,
246,80,LITR 210A: Fiction II,
247,80,RUSS 1820: Dostoyevsky,
248,80,CS 61A: A Structure and Interpretation of Computer Programs,
249,80,CS 61B: Data Structures and Algorithms,
250,80,CS 61C: Great Ideas in Computer Architecture,
251,80,CS 70: Discrete Mathematics and Probability Theory,
252,80,EE 16A: Designing Information Devices and Systems,
253,80,English 180A: Autobiographical Disability,
254,80,"English R1B: Research Methods in Literature   (NLP, Statistical Analysis, Formal Logic, Probability)",
255,80,Math 54: Linear Algebra and Differential Equations,
256,81,,
257,82,,
258,83,,
259,84,,
260,85,,
261,86,,
