,profile_id,starts_at,ends_at,title,description,company,location
143,36,2017-08-01,2020-02-29,Sales Executive,,Arco: Experts In Safety,
144,36,2019-02-01,2019-11-30,Construction Strategic Sales and Services,,Arco: Experts In Safety,"Hull, United Kingdom"
145,36,2014-05-01,2016-07-31,Warehouse Operative,,Arco: Experts In Safety,"Hull, United Kingdom"
146,37,2020-03-01,,UX Designer & Developer,"I work with the team at Nordcloud's Design Studio. We are responsible for creating digital products and services for our clients. We focus on the design of cloud-first services, user experience, and development strategies – ensuring Nordcloud stays at the forefront of high-end design for future cloud-based applications and experiences.I collaborate with other designers, developers, and project managers to solve business challenges in our in-house operations and client projects.My strength within the team has been working as a hybrid designer where I design prototypes and also develop production-ready web experiences. I have collaborated on client projects ranging from Ericsson, BMW, Vitesco, and so on.","Nordcloud, an IBM Company","Helsinki, Southern Finland, Finland"
147,37,2018-12-01,2020-03-31,UI/UX Designer,"I worked at BCaster in the role of a User Experience Designer and Front-end Developer where I helped form ideas, design them, and collaborated with the engineering team. My responsibilities and success:• Design the BCaster products (user research, wireframing and interactive prototype) for both Web Apps, Web dashboards, and other web tools.• Coding usable responsive user-interface for our products on Javascript frameworks like React.js, Vue.js, and co• Facilitating design reviews with my team-mate, Frontend Engineer (Stephen) and Stakeholders (Janne and Paul)",BCaster,"Helsinki Area, Finland"
148,37,2018-02-01,2018-12-31,UI/UX Designer,"Responsibilities and success:• Design and develop web / mobile applications to support the bank’s operations.• Learned from user's feedback to design more usable experience on the GTWorld’s mobile application.• Constantly designing and developing the GTWorld mobile app in Ionic framework and typescript.• Iterated and optimized the GTWorld mobile application so as to enhance the usability and speed.• Implemented the redesign of the bank’s GTPay product through two iterations, improving its page speed by 50%.• Redesigned the experience to onboard customers to the GTPay merchant product.• Collaborated with developers to create and maintain an in-house design system for all the bank’s application.Technologies: User Interface design, User research, Responsive web design, Front-end development, Ionic framework, Prototyping using sketch and Invision.",GTBank,"Victoria Island, Lagos"
149,37,2016-08-01,2018-02-28,Lead UI/UX Designer (GIGM.com),"Responsibilities and success:• Ran user research to identify customer’s needs.• Facilitated design thinking sessions with both stakeholders and customers.• Designed and tested prototypes on users so as to gather more useful feedback to make the product usable.• Developed the responsive design on both mobile and web platforms.• Created and maintained an in-house design system using sketchApp and made the code assets available on the company’s private repository.• Collaborated with a team of 11 developers.• Scaled web platform through page speed of 99% after the redesign.Technologies: User Interface design, User research, Responsive web design, Prototyping using sketch and Invision.Achievements thus far include:Lead UI/UX Designer of the GIGM.com web and mobile platformDesign and development of The GIG Group and Stellas Microfinance Bank website",The GIG Group,"Lekki, Lagos"
150,37,2014-02-01,2016-02-29,UI/UX Designer (Consulting),,Deefrent Limited,Lekki
151,37,2015-06-01,2015-12-31,Front-End Developer,"Responsibilities and success:• Developed the user interface application for fuelvoucher.com.ng• Ran consistent usability test on fuelvoucher.com.ng and used feedback to iterate the product.• Collaborated with a team of 5 developers and 2 designers.Technologies: User Interface design, Responsive web design, Liferay library.",Seamfix Nigeria Limited,
152,37,2014-11-01,2015-01-31,UI/UX Designer,,HiiT Plc,"Lagos, Nigeria"
153,37,2014-02-01,2014-10-31,Research Assistant,"Assisting Researchers with data gathering and analyze them.Extensive Online Research, Spot checks, physical observations, sampling etcAssisted Professor S.A Ayanlaja, Vice-Chancellor,  Crawford University, Igbesa Nigeria with research on ""Ensuring Human Security in Africa: Role of Science and Technology"" at the UNESCO and the Institute For African Culture And International Understanding (Olusegun Obasanjo Presidential Library).","Crawford University, Igbesa Nigeria","Crawford University, Nigeria"
154,37,2012-07-01,2014-10-31,User Interface Designer,User research for the design of student's result checker.Designed result checker for both mobile and web platforms.Constantly gathered feedbacks from students on their experience while using the platforms and continued iterating for best experience.,"Crawford Univeristy, Igbesa Nigeria","Agbara, Ogun State"
155,38,2021-03-01,,Campus Ambassador,,Coding Blocks,
156,38,2021-05-01,2021-07-31,Intern,,aashman foundation,
157,39,2016-10-01,,Cofounder & driver,"During our 9-week (full-time) or 24-week (part-time) bootcamps, learn the most in-demand skills with motivated students, passionate teachers and a hands-on curriculum teaching you how to build software and solve problems.Our web development course is an immersive experience that takes you from beginner to junior software developer. At the end of the course, you will know how to build a robust and user-friendly app that answers your users' needs, and to follow the right workflow to collaborate with other developers, designers and product managers.Our Data Science course course gives you the skills you need to launch your career in a data science team. From Pandas to Deep Learning, you will finish the course knowing how to explore, clean and transform data into actionable insights and how to implement Machine Learning models from start to finish in a production environment, working in teams with the best-in-class tool belt.Originally launched in Paris (France), Le Wagon is now in 39 cities around the world including ⚡️ Montréal⚡️. For the fourth year in a row, Le Wagon is ranked #1 coding bootcamp worldwide on Switchup according to student reviews!To find out more about Le Wagon, visit these few links or contact me :) I'll be happy to connect!",Le Wagon Canada,"Montreal, Canada Area"
158,39,2014-01-01,2016-12-31,Analyste et stratège communication & numérique,"Analyse, conseil stratégique et développement de projets de communication intégrée.> Direction et développement du Service de la communication : conseils stratégiques, planification, gestion et élaboration de projets de communication intégrée, développement du service et mise en place de l'équipe (Les Toises - Centre de psychiatrie et psychothérapie, Lausanne, Suisse)> Conseils stratégiques, gestion de la communication Web et médias sociaux (Mouvement pour mettre fin à l’itinérance à Montréal)> Réalisation du plan de communication d'un projet de recherche pan-canadien ; développement d'une stratégie web et médias sociaux / partenariat avec Stéphanie Lassonde (ACCESS CANADA, Montréal)> Conseils en stratégie web, analyse et conception fonctionnelle (Convercité, Montréal)> Développement et mise en place d’une stratégie de communication numérique. Développement du cadre de gestion et formation des gestionnaires. Réalisation du site Web www.mmfim.ca: analyse, concept fonctionnel, stratégie éditoriale, direction de projet. (Mouvement pour mettre fin à l’itinérance à Montréal)> Conseil stratégique communication numérique, développement de guides de gestion web et médias sociaux, formations (Atlas et Axis/Régie Régionale de santé et de services sociaux du Nunavik, Kuujjuaq, Québec)> Analyse des actifs numériques, réalisation d’un plan de communication, accompagnement dans la gestion des communications numériques, gestion et coordination d'un webinaire en direct (Association des cadres supérieurs de la santé et des services sociaux)",Consultation MGA,"Montreal, Canada Area"
159,39,2005-01-01,2013-12-31,Responsable communications interactives,"J'ai sensibilisé les dirigeants à une approche de communication et de transfert de connaissances novatrice par un usage du web et des médias sociaux axé sur les résultats pour répondre à des objectifs stratégiques de l'organisation. Entre autres, j'ai dirigé le développement des actions de communication contribuant ainsi à faire de l’Institut Douglas une source de référence en santé mentale sur le web. J’ai orchestré des actions de communication en apportant une vision intégrée de l’ensemble des spécialités (communication numérique, relations médias, communication interne, éducation du public, événementiel).- Mis en place et dirigé la première équipe dédiée aux communications numériques dans un établissement de santé publique au Québec- Développé et implanté les procédures et les politiques liées à ce domaine- Amélioré les processus de communication interne en maximisant l’usage des technologies, notamment par l’intranet et en offrant un accompagnement dédié aux usagers- Piloté le développement du 1er site web de référence en santé mentale bilingue au Québec- Fait rayonné les cours de l’École Mini-Psy en les offrant gratuitement sur YouTube dès 2006- Mis en place la 1ère blogosphère d’experts en santé mentale au Québec en 2007 et un programme de soutien aux blogueurs- Porte-parole des initiatives de communication numérique (7 conférences, de Québec à Toronto, entre 2008 et 2010)>> Résultats <<- Stratégie de brand content dès 2006. En 2 ans, les contenus informatifs sur la santé mentale représentent 20%% des visites sur le site- Croissance de 250%% d’utilisateurs et de 100%% de pages vues sur le site en 3 ans suite à sa refonte en 2011- 1.5 millions de vidéos vues sur YouTube depuis 2006- Présence forte sur Twitter et Facebook dès 2009. Aujourd’hui: + de 4000 et 4500 abonnés",CIUSSS de l'Ouest-de-l'Île-de-Montréal,"Montreal, Canada Area"
160,39,2012-01-01,2012-04-30,Chargée de cours,"L'Université du Québec à Montréal est l'une des principales universités de la Province.Enseignement du cours ""Communication médiatique et santé"" du Programme court de deuxième cycle en communication et santé (Faculté de communication, UQÀM). Session hiver 2012.En abordant, entre autres, les notions théoriques de la communication et des changements de comportement en santé, le cours a offert les bases essentielles pour développer des projets médiatiques en santé.",Université du Québec à Montréal,"Montreal, Canada Area"
161,39,2006-10-01,2007-10-31,Responsable Service des communications et affaires publiques (intérim),"- Dirigé une équipe de 6 spécialistes en communication- Géré le budget, la planification et l’évaluation des projets en phase avec la planification stratégique- Mesuré et amélioré en continu les processus internes du service",Institut universitaire en santé mentale Douglas,"Montreal, Canada Area"
162,39,2003-05-01,2004-10-31,Gestionnaire de projet,Tequila Rapido est une agence de communication numérique.Gestion d'un portefeuille de clients et de divers projets numériques :- Analyse des besoins d'affaire- Planification- Coordination avec l'équipe et partenaires externes- Contrôle qualité- Livraison,Tequila rapido,"Nice Area, France"
163,39,2002-07-01,2002-10-31,Chargée de communications,Association à but non lucratif oeuvrant dans la réinsertion sociale.Chargée de la communication externeAssure les cours de français auprès d'une clientele en difficulté,Association EMEF,
164,40,2018-05-01,,Receptionist,,Siga'Sewing & Ironing,"Milltown, County Kerry, Ireland"
165,41,2021-09-01,,Android Developer,,Goldmine Research,Pune
166,41,2018-06-01,2018-08-31,Android Developer,* Designed user interfaces that engaged all senses and produced immersive experiences* Worked with teams from other projects and departments to create apps and data driven by customer input* Consistently used Android SDK to produce highly effective and nuanced content* Applied various techniques to locate bugs and errors in applications,Leela Technologies,"Pune Area, India"
167,42,,,,,,
168,43,2021-01-01,,Engineering Manager,,Mark43,Canada
169,43,2021-05-01,,Coach - Engineering Leadership,,BestPracticer,
170,43,2021-04-01,,Board Member,,Dansii.com,Canada
171,43,2021-02-01,,Mentor - Engineering Leadership,,Plato,
172,43,2020-11-01,,Top Mentor(1%) - Engineering & Leadership,,MentorCruise,
173,43,2020-12-01,2021-05-31,Advisor,,Stay22,"Montreal, Quebec, Canada"
174,43,2020-07-01,2021-01-31,Technical Leadership,,Insurity,"Montreal, Quebec, Canada"
175,43,2014-04-01,2020-04-30,Engineering Manager Associate,,,New York City Metropolitan Area
176,43,2014-01-01,2014-04-30,Software Development Engineer In Test,,Laird,"Sharon, Pennsylvania Area"
177,43,2013-03-01,2013-10-31,Software Engineer 2 (Quality),,eBay,King of Prussia
178,43,2011-10-01,2012-12-31,"Research Assistant, Systems Engineer, Technical Support Engineer",,Temple University,Greater Philadelphia Area
179,43,2012-05-01,2012-08-31,Software Development Engineer In Test,,eBay,"King of Prussia, Pennsylvania"
180,43,2011-05-01,2011-07-31,Software Engineer,,Horizon Microtech Pvt Ltd,India
181,43,2010-12-01,2011-05-31,ERP Solution Developer,,Intech Systems,India
182,44,2020-06-01,,Executive Director,"Cloud native computing empowers organizations to build and run scalable applications with an open source software stack in public, private, and hybrid clouds. The Cloud Native Computing Foundation (CNCF) hosts critical components of the global technology infrastructure, including Kubernetes, Prometheus, and Envoy. CNCF brings together the industry’s top developers, end users, and vendors, and runs the largest open source developer conferences in the world. Supported by more than 500 members, including the world’s largest cloud computing and software companies, as well as over 200 innovative startups, CNCF is part of the nonprofit Linux Foundation. For more information, please visit www.cncf.io.",,San Francisco Bay Area
183,44,2018-12-01,2020-05-31,Member of The Governing Board,The CNCF Governing Board (GB) will be responsible for marketing and other business oversight and budget decisions for the CNCF.,,
184,44,2016-03-01,2018-12-31,"Contributor - OpenTracing, Jaeger Tracing","OpenTracing is an API standard that makes it easier for companies to implement distributed tracing. For more about tracing, check out - opentracing.ioJaeger Tracing is open source, end-to-end distributed tracing built by Uber Engineering. https://www.jaegertracing.io/",,San Francisco Bay Area
185,44,2016-03-01,,Advisor,"I advise the Heavybit portfolio companies on their Go-To-Market (GTM), open source, and cloud native strategies. I've worked with companies including LightStep, RainforestQA, Citus Data, Convox in various capacities.Non-Heavybit advising engagements:Postman API testing client: Business development projects, user engagement strategy and executionGitlab: GTM strategy to enter the DevOps space",Heavybit Industries,San Francisco Bay Area
186,44,2018-06-01,2020-05-31,Director of Technical Evangelism,"Founded GitLab's technical thought leadership team from scratch with top notch hires that are winning accolades and growing their careers at GitLab and beyond today. The team runs GitLab's engagement with consortiums such as the CNCF, builds the influencer and speaker bureaus, and partners with sales, engineering and other orgs cross-functionally to support in their respective efforts. Learn more at about.gitlab.com/handbook/marketing/technical-evangelism.","GitLab, Inc.",San Francisco Bay Area
187,44,2016-03-01,2018-06-30,Head of Marketing and Strategic Partnerships,"Launched LightStep out of stealth with a Series B funding from Sequoia Capital and marquee customers such as Twilio, Lyft, GitHub, and DigitalOcean. Core contributor and community leader at OpenTracing.LightStep's mission is to cut through the scale and complexity of today's software to help organizations stay in control of their systems. Its first product, LightStep [x]PM, helps customers monitor what matters most and diagnose anomalies within seconds across web, mobile, monoliths, and microservices.",LightStep,San Francisco Bay Area
188,44,2014-09-01,2016-03-31,Enthusiastic entrepreneur,"Worked on multiple ideas, raised capital, and ultimately found my passion for developer products.",Startup,
189,44,2012-09-01,2014-08-31,Product Marketing,"Outright is a mint.com for small businesses. I launched the GoDaddy Silicon Valley office with live media and other press post-acquisition. Led Outright product integration into GoDaddy Sales team catalog and selling process. Acquired users on web and mobile through SEM, advocacy programs, roadshows, webinars. Led Public Relations for Outright with bi-weekly mentions and articles.",Outright (A GoDaddy Company),
190,44,2010-03-01,2012-09-30,Online Advertising - Publisher Side Sales,"Account Specialist - Online Partnerships GroupPublisher facing account management and sales for top online partners using AdSense, Ad Exchange and Doubleclick. Grew revenue for partners and Google using data insights, best practices, and creative solutions.Product SpecialistActed as interim Product Manager for internal insights tools. Created product spec for v2 with consumer feedback and engineering buy-in. Worked with 2 engineers to prioritize key needs and ship v2 on time.DoubleClick Ad Management ConsultantTechnical consultant to onboard new DoubleClick clients on the product. Tailored custom solutions to suit their needs and guided clients to set up the ad server such that it fulfilled their needs as they grew in the future as well as the present.",Google,
191,44,2007-04-01,2008-05-31,Senate Chair,Led the elected undergraduate legislative body of Stanford University.,Associated Students of Stanford University,
192,44,2007-06-01,2007-08-31,Investment Policy Strategy Intern,,GIC,
193,45,2021-06-01,,Inspire T-School Intern,,Tata Steel,India
194,45,2021-05-01,,Google Summer of Code 2021 - The KDE Community,,Google Summer of Code,
195,45,2020-11-01,,Secretary,,"Hackathon and Coding Club, BIT Sindri","Dhanbad, Jharkhand, India"
196,45,2019-12-01,,Open Source Developer,Active contributor at KDE Connect,KDE,"Ranchi, Jharkhand"
197,45,2021-01-01,2021-05-31,Season of KDE 2021 - Mentee,Making a Linux D-Bus daemon to support CAP protocol to send weather alerts in KWeather.,KDE,
198,45,2018-05-01,,Member,,LEO Club of BIT Sindri,"Dhanbad Area, India"
199,46,2021-04-01,,Senior Software Engineer,,Coforge,"North West Delhi, Delhi, India"
200,46,2019-08-01,2021-04-30,Software Developer,,Coforge,
201,46,2019-01-01,2019-06-30,Data Science Intern,,GEP Worldwide,"Mumbai, Maharashtra, India"
202,46,2018-04-01,2019-06-30,Campus Ambassador,,InterviewBit,
203,46,2017-10-01,2018-10-31,Joint Convenor,,Creative Computing Society,
204,46,2015-09-01,2017-10-31,Event Management,,Creative Computing Society,
205,47,2020-05-01,,Senior Software Developer,"Working as a Fullstack Developer on technologies like - Vue.js, Java and AWSRoles and Responsibilities -Designed and Developed solutions to complex problemsBuilt scalable and reusable UI componentsBuilt micro-frontend componentsPerformed POCsTest Cases with 100% coverage.Mentor team members and help them to find best possible solutions.Actively participated in code reviews and suggested the best practices methodology.Actively participated in grooming sessions and provided valuable inputs by asking right question are right time.Analyzed UI Jira tickets and provided initial investigationsMonitor Sentry and solve production issues.Collaborated with various teams throughout the design  and development processExposure to REST ServicesExposure to Junit",Principal Global Services,"Pune, Maharashtra, India"
206,47,2019-05-01,2020-04-30,Senior Software Developer,,Amdocs,India
207,47,2015-05-01,2019-04-30,Software Developer,,Amdocs,
208,47,2014-02-01,2015-05-31,Junior Software Developer,Responsibilities:Web site User InterfaceEnhancing the Site with new featuresDatabase management and migrationGenerating Sales ReportWritten various script like daily backup of database and contentIntegration of Clicky Web Analytics and Google AnalyticsIntegration With Campaign Monitor and Mail chimpAchievements:Was awarded appreciation certificate by Hummingbird Web solutions for achieving set targets and excellent performance throughout the year.,Hummingbird Web Solutions Private Limited,Pune
209,48,2019-07-01,,Software Developer,,Amdocs,"Pune, Maharashtra, India"
210,49,2019-11-01,,Senior Software Engineer,,BNY Mellon,
211,49,2019-03-01,2019-11-30,Senior Application Engineer,,Oracle,"Hyderabad Area, India"
212,49,2016-07-01,2019-02-28,Java Software Developer,,Oracle,"Hyderabad Area, India"
213,49,2014-07-01,2016-06-30,Product Engineer,Working as Java Developer to develop Insurance Product.,Intellect Design Arena Ltd | A Polaris Group Company,"Hyderabad Area, India"
214,49,2014-01-01,2014-06-30,Graduate Intern,Worked as Graduate intern on real time problem and developed working solution.,Polaris Financial Services,"Hyderabad Area, India"
215,50,2021-07-01,,Software Developer,,EPAM Systems,
216,50,2021-03-01,2021-07-31,Senior Software Engineer,,IBM,
217,50,2019-03-01,2021-03-31,Software Developer,,Amdocs,"Pune, Maharashtra, India"
218,50,2017-09-01,2019-03-31,Assistant System Engineer,I am working as Java developer,TATA CONSULTANCY SERVICES,pune
219,51,2021-07-01,,Senior Software Engineer,,Spinny,"Gurugram District, Haryana, India"
220,51,2019-08-01,2021-07-31,SDE and Platform Engineer,,Spinny,"Gurgaon, India"
221,51,2019-03-01,2019-07-31,Software Developer Intern,,Spinny,"Gurgaon, India"
222,51,2018-06-01,2019-08-31,Founder and Student Head,,B.O.S.C (BPIT Open Source Community),"New Delhi Area, India"
223,51,2018-06-01,2019-01-31,Software Developer Intern,,FellaFeeds,"Gurgaon, India"
224,52,2021-03-01,,Senior Engineer,Machine Learning | Framework Intelligence,Samsung India,"Bengaluru, Karnataka, India"
225,52,2019-06-01,2021-02-28,Software Engineer,Machine Learning | Android DevelopmentOn-Device AI divisionSamsung R&D - Bangalore,Samsung India,"Bengaluru, Karnataka, India"
226,52,2018-07-01,2019-06-30,Cultural Advisor,Overall advisory and management of the biggest Cultural Festival of North India: Engifest-DTU as the Cultural Advisor,Engifest DTU,"New Delhi, Delhi, India"
227,52,2017-07-01,2018-06-30,Treasurer,"As the key member of Cultural Council of Delhi Technological UniversityHandled the core organization of the biggest Cultural Festival of North India, Engifest-DTU.Managed finances as the Treasurer for the fest with an overall budget of Rs. 70 lacs+",Engifest DTU,"New Delhi Area, India"
228,52,2017-01-01,2017-06-30,Publicity Head,"Directly managed as the head of Publicity and PR (a team of 200 volunteers), for Engifest-DTUOnline: Digital MarketingOffline: College to college drives",Engifest DTU,"New Delhi, Delhi, India"
229,52,2018-05-01,2018-07-31,Student Trainee Intern,,Samsung Research Institute Bangalore,"Bengaluru, Karnataka, India"
230,53,2021-01-01,,Senior Software Development Engineer (SDE-2),,OYO,"Gurugram, Haryana, India"
231,53,2019-07-01,2020-12-01,Software Development Engineer,"• Part of Consumer Web Team and worked in major projects like global consumer revamp of the mobile website and various other projects including GA revamp, Referral mWeb, Desktop Homepage Widgetization, revamping from old website to new website Oyo-lite, new booking confirmation page for mWeb, and launching Oyo Japanese homepage.• Designed, implemented and monitored web pages and sites for continuous improvement and designed sites to be compatible with top browsers, including Firefox, Chrome and Safari.• Orchestrated efficient large-scale software deployments, including testing features and correcting code and adjusted software parameters to boost performance and incorporate new features.• Oversaw troubleshooting of technical and onCall issues to solve problems quickly and efficiently and tested websites and performed troubleshooting prior to deployment.• Used various technologies including HTML, CSS, JavaScript, React, AWS, Google Analytics, Google cloud console, JIRA, Nginx, Google Tag Manager, New Relic and more for code repairs and optimizing website.",OYO,"Gurugram, Haryana, India"
232,53,2018-06-01,2018-07-01,Web Development Intern,"Indian Oil Corporation is an Indian petrochemical company. It is the largest commercial enterprise in the country. I was hired as a summer intern in The Information Systems Department. There I designed and created prototype of the complaint management system and implemented everything using rails and hosted live on heroku. Technologies that are used in developing the same are html, css, JavaScript, jquery, ajax and Ruby, gitHub and heroku for implementation.",Indian Oil Corporation Limited,"Delhi,India"
233,53,2018-05-01,2018-06-01,Microsoft Technology Associate,"Successfully completed the MTA course in Javascript and completed projects to be considered as Microsoft Technology Associate. Used programming capabilities in HTML, CSS and JavaScript and other libraries as needed to create the project.",Verzeo,"New Delhi Area, India"
234,54,2019-11-01,,Senior Software Engineer,"- Working on an end-to-end digital ordering solution, being used majorly in F&B sector, providing digital in-store as well as delivery services to the user- Serving 1000+ restaurant chains, including major franchises such as McDonalds, Starbucks, Subway, Tacobell, Dunkin Donuts, Baskin-Robbins, Hilton Hotels & resorts, Costa Coffee, Chili's, Sbarro etc- The web app offers a complete ordering flow including catalog rendering, order placing, payment gateway, promotions and notifications via whatsapp, customised for each brand- Worked on various backend APIs and schema designs, spread across micro-services, performing functions such as cart calculations, promotion application, order placing, order states transitions, order-item rejections, refunds and whatsapp communications for the customer facing platform side",DotPe,"Gurgaon, Haryana, India"
235,54,2018-03-01,2019-10-31,Software Engineer,"- Worked with commercial R&D team on a formal verification application called ‘Superlint’, part of the flagship product ‘JasperGold’, deployed at more than 50 Fortune500 firms with major ones being ARM, Texas Instruments, Samsung, HP, Tesla, Boeing, Intel, Qualcomm- Collaborated with various cross-geographical business units at client’s for bugs resolution and enhancements based in United States, Israel and UK",Cadence Design Systems,"Noida Area, India"
236,54,2017-07-01,2017-12-31,Software Engineer,"- Worked on native modules of the leading video streaming application ‘Netflix’ for Samsung Tizen Smart TV- Managed bugs and enhancements in DRM (Digital Rights Management) modules used for handling secure login in Netflix Application for Tizen Smart TV- Validation of the entire User Experience for Netflix before final launch of an update, including manual and automated testing, use cases generation, performance etc",Samsung Electronics,"Noida Area, India"
237,55,2021-01-01,,Software Engineer,,Cronycle,"Delhi, India"
238,55,2019-12-01,2020-01-01,Information Technology Intern,•	Operated in the marketing and IT department•	Worked on the software SAP and MS-Excel to produce everyday sales and dispatch report.•	To analyze the daily reports according to marketing standards and requirements and suggest thenecessary decisions to increase our sales.,Indorama Synthetics,"Gurgaon, India"
239,55,2019-06-01,2019-07-01,Human Resources Trainee,"Worked according to WCQ (World Class Quality)To produce reports on educating, training and empowering employees, providing reward and compensation benefits, overtime report and check absentees and sickness leave.",Jay Spinning Mills. Nepal,"Birgunj, Nepal"
240,55,2019-01-01,2019-03-01,Publicity Coordinator,"•Co-managed a group of 200+ volunteers and ensured the footfall is 80,000+",Engifest DTU,"Delhi, India"
241,55,2018-06-01,2018-07-01,Project on Data Analysis and Customer Relationship Management,"Data Analysis and Business Results - to collect financial processes and loss variance statement, supplier performance and quality issues on monthly basis and then use this data to analyze product variance, selling price variance for improvement in growth.Customer Relationship Management - to gather data on competitor’s customers, requirements on market segment, customers complaint, new customer, projections for existing and potential customer and measure customer satisfaction level.",Spentex Industries Ltd,"Pithampur, Dhar"
242,56,2020-09-01,,Senior Analyst,,Capgemini,
243,56,2019-06-01,2019-07-31,Summer Internship,,Indian Oil Corporation Limited,"Panipat, Haryana, India"
244,56,2018-08-01,2019-05-31,Treasurer,,Panache- The Fashion and Designing Society of DTU,
245,56,2018-08-01,2019-05-31,Mess Secretary,,DTU Hostel Council,
246,56,2018-01-01,2019-05-31,University student Internship Program,,Delhi College of Engineering,
247,56,2018-07-01,2018-08-31,Social Media Intern,,BikesterGlobal,
248,56,2018-04-01,2018-08-31,Content Developer,,Gradeup (Gradestack Learning Pvt Ltd),
249,56,2018-06-01,2018-07-31,Summer Internship,,National Hydro-electric Power Corporation,
250,56,2018-01-01,2018-02-28,Food City Coordinator,,Engifest DTU,
251,56,2017-01-01,2017-02-28,Volunteer Staff,,Engifest DTU,
252,57,2020-04-01,,Senior Software Engineer,,Paytm Insider,
253,57,2017-09-01,,A Proud Robin |  West Delhi Representative,"Robin Hood Army is a volunteer-based, zero-funds organization that works to get surplus food from restaurants and the community to serve less fortunate people.I currently lead the West Delhi Chapter. ( one of the 10 chapters in Delhi with over 1200 people )I started out as a community volunteer & within 6 months, I joined the core team of the West Delhi area to help in areas like:- Volunteer management- Restaurant partner onboarding- Event managementSuccessfully co-organized special drives & events like- Summer Camp- Menstrual Hygiene awareness- Earth Day Celebrations- Diwali Celebrations- Christmas CelebrationsPS: I hold the distinction of becoming Santa on Christmas for the last 3 years.",Robin Hood Army,"New Delhi Area, India"
254,57,2018-05-01,2020-04-30,Software Engineer,ImageKit.io is a real-time image optimization platform.I am the first tech hire at ImageKit.io.I have worked on development of features like:- SVG optimization Pipeline- Smart cropping- Overlay images & text- User access management,ImageKit.io,"Gurgaon, India"
255,57,2016-03-01,2019-12-31,Founder,A successful effort to create a programming club of BPIT.We mentored close to 80 students in the domain of software & web development along with problem-solving skills.,HACKIONS,"New Delhi Area, India"
256,57,2017-10-01,2018-05-31,Software Engineer,I started out my professional career with the ABC+D team.My roles and responsibilities included the development of features for our frontend for our product Dauble using AngularJS.,ABC+D,"Gurgaon, India"
257,57,2015-12-01,2017-08-31,Co Founder & Web Developer,"I co-founded this ( unregistered ) company along with my friends from Delhi College of Engineering ( DCE / Delhi Techincal University - DTU ).We provided IT solutions to our variety of customers including ( & not limited to ) product development, IT support, training of our software, adoption of advance & secure systems along with improvement & creation technical infrastructure.Some of my major contributions include:- insurance firm management system- biometric attendance system- finance & inventory management system for ceramic products manufacturing factoryOverall we shipped around 20 different projects with 10 projects having 2 years of support service agreement signed.We also created MVP of two products during this period which has immense potential to change the world, if you are interested in knowing more, please reach out to me.",AIS Software & Web Services,"New Delhi Area, India"
258,57,2015-08-01,2016-07-31,Team Strategist & Web Developer,"I started out as a graphic designing intern and was promoted to lead teams across different verticals, within 3 months of joining, including:- Event management- Module management- Partnerships & GrowthSome of the highlights of my work include:- Spearheading 3 successful social campaigns to raise funds for our social campaigns- Managed a team of 5 developers to create volunteer management portal- Managed a multiple teams across multiple events.- Co-created strategies for better visibility among college students through our campaigns",Womenite,"New Delhi Area, India"
259,58,2020-12-01,,Software Developer 2,,Oracle,
260,58,2020-06-01,2020-12-31,Senior Software Engineer,"Projects - MyStore (Ofﬂine Food/Grocery ordering ), Paytm Mall - Online eCommerce platform.Working on mobile Apps to Provide an online/ofﬂine experience to Customers.Responsible for ownership of the Cart and ofﬂine ﬂow of Paytm Mall.Contributing to estimation, planning, and management of Sprints.Working with the product team to translate business requirements into compelling user interfaces and experiences.Working on code optimizations and process improvement tasks.Currently working on framework Reactjs With WebView",Paytm,
261,58,2019-07-01,2020-05-31,Senior Software Engineer,,Paytm Mall,India
262,58,2018-04-01,2019-06-30,Software Engineer,,Paytm Mall,"Noida, Uttar Pradesh, India"
263,58,2016-12-01,2018-04-30,Software Engineer,"Project 1(April 2017-Present)Working in development of a product called Scopeworker, which will help in monitoring all the activities from Service provider  (Vendor panel), Service carrier (Agent) to Service seeker (Company panel) in various fields like telecommunication.•	Created various modules (ticket creation, program, project, Milestone, creation details and more) which are important part of the project.•	Took initiative to make code efficient by implementing Code Reusability and Services.•	Worked on fixing Bugs and different enhancements.•      Our team has been recognized consecutively for last 4 month for their hard-work,stepping up in critical situations and making project huge successProject 2(December 2016 - March 2017)Worked on a project called beGlammed, which help Customers to provide Salon services at their home. Customers can Create a booking for a service and can select a particular service provider along with all the requirements and get the service  at the desired time.•	Created a Admin panel for above consisting of different functionalities that a admin can use like creating Customers, Service providers, services, categories and tracking all the booking .•	Technology/Language: JavaScript, AngularJS, AJAX , HTML5, CSS, Responsive Web•	Tool and Application: GIT, Webstorm, Browser dev tools, debugger",Click Labs,"Chandigarh Area, India"
264,58,2016-09-01,2016-11-30,Software Engineer,"Worked as Full Stack Developer  in development of Field Dashboard Portal, which is being used by managers and marketing executing acrossglobe for business analysis•Technologies used: JavaScript, SQL server 2014, Web Azure, AngularJS(1.4) and VSO•Created and Modified Grid, filter etc•Implementing multiple Stored Procedure for fetching data for various views in SQL Server 2014•QHC Fixes (SQL Code Analyzer) on the Stored Procedures.•Troubleshooting API errors using Express for Web",MAQ Software,"Mumbai Area, India"
265,58,2014-08-01,2016-07-31,Teaching Assistance,Teaching Assistantship,Delhi Technological University,"New Delhi Area, India"
