,profile_id,starts_at,ends_at,title,description,company,location
40,12,2016-12-01,2016-12-31,Intern,"Learnt about various concepts involved in embedded product Design like working and design of microcontroller systems, concepts like memory management, JTAG, Clocks, Timer, Comparator, Communication protocols, ADC working and implementation. I also obtained practical experience on PCB designing and Fabrication using EagleCAD for schematic and board file design and Toner transfer method for fabrication",Texas Instruments Centre for Embedded Product Design,"New Delhi Area, India"
41,13,2019-06-01,,Consultant Producer,"• Produced videos for this content studio for mammoth corporate houses like RPG, Bombay Shirt Company x JSW, RPG x DDB Mudra, Piramal, Oberoi Hotels & humble enterprises like SarvaPooja, KitchenTikka & Wedeo• Executed Projects End-to-end: Conceptualised Ideas based on client briefs, Hired Freelancers(Writers, DOPs etc) on a per-project basis, Coordinated with vendors for equipment, Managed & ensured successful completion of the shoot, Did additional cinematography, fully post-produced the projects.",StudioLIV,"Mumbai, Maharashtra, India"
42,13,2021-05-01,2021-06-30,Consultant Creative Producer,"• Was responsible for the production of 5 short films on COVID awareness which involved getting the DOP onboard, hiring the camera and lighting equipment, managing all other logistics of the shoot as well as giving creative inputs on the script and performance by the actor.• Was responsible for the full post-production, which involved editing, minimal motion graphics, sound mixing and colour grading.",BOOM FactCheck,"Mumbai, Maharashtra, India"
43,13,2020-08-01,2020-10-31,Consultant Manager - Production,"• Was a Producer for PING Network for a project which consisted of remotely producing a batch of 36 insightful & engaging explainer videos for Emeritus Insights, an Edutech Platform.• These videos were fully 2D animated, produced remotely and in a strict timeline of under 3 months.",PING Network,"Mumbai, Maharashtra, India"
44,13,2018-07-01,2019-01-31,Assistant Producer,"• Oversaw end-to-end workflow of shows under the branded content wing across the network (ET Now, Mirror Now & TN)• Ideated on topics, wrote concept notes, wrote the show flow & headlines, fixed and suggested guests and oversaw post-production up until the final broadcast• Was Responsible for both content and TV Production",Times Network,"Mumbai Area, India"
45,13,2017-08-01,2017-10-31,Production Intern,,Times Network,
46,13,2017-06-01,2017-06-30,Sales And Marketing Intern,,Nordic Kandie,"Mumbai, Maharashtra, India"
47,13,2016-08-01,2016-10-31,Intern,,Fitternity Health eSolution Private Limited,"Mumbai Area, India"
48,14,2020-08-01,,Graduate Student Instructor,Working as a Teaching Assistant for Undergraduate Math CoursesFall 2020: Calculus I (Math 115),University of Michigan,
49,14,2020-03-01,2020-08-31,Member,"Women in AI (WAI) is a nonprofit do-tank working towards increasing female representation and participation in AI. The community encourages active collaboration via education, research, events and blogging.",Women in AI,
50,14,2019-12-01,2020-08-31,Member,"WiMLDS is an international organization which works towards supporting women and gender minorities who are practicing, studying or are interested in the fields of machine learning and data science. The Delhi Chapter organizes informal meetups and talks for discussing ongoing research in related fields.",(WiMLDS) Women in Machine Learning & Data Science,"New Delhi Area, India"
51,14,2019-12-01,2020-08-31,Member,"Women Who Code is a global non-profit organization and the world’s largest and most active community dedicated to inspiring women to excel in technology careers. It includes opportunities for indulging in technical events, social meetups and training.",Women Who Code,"New Delhi Area, India"
52,14,2019-09-01,2020-08-31,Member,Elpha is the most powerful network for women in tech around the world. Platform for engaging technology driven people in discussions for personal and professional development.,Elpha,
53,14,2019-06-01,2019-08-31,Mitacs Globalink Research Intern,Worked on the problem of using complex-step derivative approximations in model-based derivative-free optimization methods. Black box optimization is the optimization of functions which are not analytically known. The problems where the function derivatives can be assumed to exist are approached by model-based derivative-free methods. My roles in the above project were as follows:• Literature reading of complex-step derivative approximations• Develop extensions of the methods for higher dimensional problems• Apply algorithms to test problems through MATLAB• Documentation through LaTeX,The University of British Columbia,"Kelowna, Canada"
54,14,2018-10-01,2019-08-31,President,• Participated at the SIAM Student Chapter Mixer in SIAM Annual Meeting 2020 as the chapter representative of SIAM DTU• Planned the annual budged for the annual mathematics fest at the Department of Applied Mathematics• Supervised a team of students and volunteers for organizing activities and events,SIAM DTU,
55,14,2017-08-01,2018-09-30,Head Of Public Relations,•	Event head of ‘Guess-estimates’ game event under Evolute-2018 (Annual Mathematics fest at DTU).•	Hosted the annual symposium of the department of applied mathematics under Evolute-2018.•	Event co-head of ‘Guess-estimates’ game event under Evolute-2017.,SIAM DTU,"New Delhi Area, India"
56,14,2017-08-01,2019-08-31,President,"• Event head of ""Anushthaan – Annual inter-college folk dance competition"" under Engifest-2018 and Engifest - 2019 (one of the biggest cultural festivals held in North India).• Choreographed and organized frequent performances at college and inter-college level",Nrityangana DTU,"New Delhi Area, India"
57,14,2018-05-01,2018-07-31,Research Intern,"Worked on developing a comprehensive literature review on ""Generalized Inverses - Concepts, Terminology and Algorithms"". My roles in the project were as follows:• Exhaustive problem solving in Linear Algebra through ""Linear Algebra and Linear Models"" by Ravindra B. Bapat and ""Linear Algebra"" by A. Ramachandara Rao and P. Bhimasankaran• Develop long-form mathematical text including important concepts and easy proofs to useful theorems of Generalized Inverses• Documentation in LaTeX","Indian Statistical Institute (ISI), New Delhi","New Delhi, Delhi, India"
58,14,2017-12-01,2018-01-31,Research Intern,"• Collected data and statistics of India and Bangalore on the topic, ‘Chemicals in Everyday lives of Infants’ for research purposes of the firm• Drew conclusions about the harmful effects for research work.",jarita,"New Delhi Area, India"
59,15,2019-07-01,,Software Engineer,,Tata Consultancy Services,"Mumbai, Maharashtra, India"
60,15,2018-06-01,2018-07-31,Trainee,,ENSAVE DEVICES PRIVATE LIMITED,Vasai (East)
61,16,2020-07-01,,Chief Executive Officer,"A complete core-learning Eco-System built by our highly experienced team of technocrats, enabling in-depth learning of new technologies for engineering graduates and working professionals. Our innovative hybrid platform integrates recorded lectures and live classrooms altogether thereby providing the learner with a bundle of resources to have a command on the technology.What is Core-learning?Core-learning is term coined by Learn and Build, which means an in-depth detailed structured learning of technologies with hands on experience for the learners. It enables the learners to explore the depth of each topic practically assisted by our highly experienced trainers.",Learn and Build - LnB,"Jaipur, Rajasthan, India"
62,16,2020-07-01,,Chief Executive Officer,"TechieNest Pvt Ltd is an EdTech StartUp for providing hands-on experience on Latest Technologies to our aspiring learners. We are one of fastest growing startup working with Hardware and Software Technologies Both.Working with latest technologies like:> Internet of Things> Artificial Intelligence> Data Science> Cloud Computing> DevOps> BigData> Ethical Hacking and CyberSecurity> Embedded Systems> Robotics> ProgrammingWe are focusing on Technical Higher Education & Professionals. We are providing our services using Online and Office Hybrid Model. We developed our online platform called LnB (Learn and Build) for Online Space. Learner, here will be guided/trained with structured learning map with proper skills performance tracking to our learners.Learners gets through proper structure learning for each technology in step by step process. Our online platform provides recorded lectures in best easiest learning ways also live lectures/sessions are there for some advance courses & trainer's interactions and doubt solving.Along the side of technical education we consult to our various clients on various technologies. And using this we also provide our best learners the opportunity to be part of such great products and researches.www.techienest.inwww.lnbcore.com",TechieNest,"Jaipur, Rajasthan, India"
63,16,2017-07-01,2020-06-30,Chief Technology Officer,"As CTO, I look after the intersection of our customer solutions, platforms, and the opportunities that the Internet of Things bring.> Machine Learning Model for Fitness Solution> Machine Learning Deep Learning Models for SMART EYE> IOT System for Automation Industry> IoT System for Fuel Sensing and Live Monitoring in Vehicles> Embedded System for Rocket Launching Simulator for Indian Defence> IoT Solution for Milk Plant> IoT Solution for Water Metering> IoT Solution for Smart Parking> IoT Solution for Cooler Industry> IoT Solution for Automobile Industry> SMART Sensors for Vehicle Speed, Rotation and Temperature Sensing> Mobile Apps Development on Fluttter> WebApp/Server Development for IOT Solutions> AI Intelligent Stick> Automatic Hand Sanitising Machine> Touch less Human Body Temperature monitoring device> Ultrasonic Vibrators for Diamond Cutting Machines> Online Technical Education Platform> Provided Solution for health bands for Jewellery industryDelivered many talks on recent technologiesGuided more than 200 Interns for their learning and projects developmentGuided/Consulted research scholars in IOT and AI research and publishing research papersPublished Various Research papers in Reputed JournalsTrained more than 15000 engineersDelivered various sessions on national and international platforms on latest technologies like-> Internet of Things> Data Science> Deep Learning> Machine Learning> Artificial Intelligence> BigData> Cloud Computing> BlockChain> Augmented Reality> Virtual Reality> Robotics> 3D Pinting> Micro Drones> Embedded Systemsetc",TechieNest,"Jaipur, Rajasthan, India"
