,profile_id,starts_at,ends_at,field_of_study,degree_name,school,description
149,69,2021-01-01,2023-12-31,Big Data and Business Analytics,Master of Science - MS,SRH Hochschule Heidelberg,"Storytelling, Communication and Design BasicsData Analytics  (Statistics and Machine Learning )  in RBig Data Programming in PythonData Engineering -Redis , Google Search APIs and  GeoCode APIs"
150,69,2018-01-01,2019-12-31,DataScience,PG Diploma,International Institute of Information Technology Bangalore,Completed Diploma Course in Data Science
151,69,2008-01-01,2012-12-31,Electronics and Communincations,Batchelor of Engineering,Visweshwaraih Technical University,
152,69,,,,Msc in Bigdata and Business Analytics,SRH Hochschule Heidelberg,
153,70,2021-01-01,2023-12-31,Big Data and Business Analytics,Master of Science - MS,SRH Hochschule Heidelberg,
154,70,2009-01-01,2013-12-31,Computer Science,Bachelor of Technology,"REVA UNIVERSITY, BANGALORE",
155,71,2006-01-01,2009-12-31,Information Technology,Bachelor's degree,"Walchand College of Engineering(A Govt. Aided Autonomous Institute),SANGLI-M.S",
156,72,1973-01-01,1975-12-31,,,Harvard University,
157,72,,,,,"Lakeside School, Seattle",
158,73,,,,J.D.,Stanford University,
159,73,1985-01-01,1989-12-31,Philosophy,B.A.,Stanford University,
160,74,2002-01-01,2004-12-31,,"Psychology, Computer Science",Harvard University,
161,75,2008-12-31,2010-12-31,Computer Science,MS,Georgia Institute of Technology,
162,75,2001-12-31,2005-12-31,Computer Science,B.Tech,International Institute of Information Technology,
163,75,1999-12-31,2001-12-31,"Mathematics, Physics, Chemistry",High School,GSR college,
164,75,1991-12-31,1999-12-31,,,Shree Rang Vidhyalaya,
165,75,2008-12-31,,Computer Science,Doctor of Philosophy (Ph.D.),Georgia Institute of Technology,
166,76,2014-01-01,2016-12-31,Electrical and Computer Engineering,Master's degree,University of Illinois at Chicago,
167,76,2010-01-01,2014-12-31,Biomedical/Medical Engineering,Bachelor's degree,Thadomal Shahani Engineering College,"Was an Event Coordinator for ISAAC 2013 for a gaming event.Exhibited a Medical Machine for Biomedical Departments Exhibition called Exhibeat 2014.Participated in the 2nd Indian IAS Student Branch Chapter Workshop on Power ElectronicsMembership Development Officer for EMBS , Junior Committee Member, IEEE - TSEC. (2012)Attended a Seminar on Bio sensors.Attended a Seminar on Toxicology and Immunodeficiency.Attended a Seminar on Toxicology.Participated in workshop on Stress meter.Member of the IEEE EMBS (2010-), IEEE Communications Society (2011-), Computer Society of India (2010-2013)."
168,77,2011-12-31,2015-12-31,Information Technology,Bachelor of Technology (B.Tech.),Indian Institute Of Information Technology,
169,77,2004-12-31,2011-12-31,9.4(out of 10) in 10th and 90% in 12th,12th,KENDRIYA VIDYALAYA No. 1 BIKANER,
170,78,2015-01-01,2018-12-31,Information Technology,Bachelor of Engineering - BE,Vidyalankar Institute Of Technology,
171,78,2012-01-01,2015-12-31,Information Technology,Diploma,Government Polytechnic Mumbai,
172,79,2013-01-01,2015-01-01,Software Technology,Master’s Degree,Vellore Institute of Technology,
173,79,2008-01-01,2012-01-01,Computer Science,Bachelor’s Degree,Shivaji University,
174,80,2018-12-31,2023-12-31,Computer Science,Doctor of Philosophy - PhD,Stanford University,
175,80,2014-12-31,2017-12-31,"Computer Science, Literary Arts",Bachelor’s Degree,Brown University,
176,80,2013-12-31,2014-12-31,Electrical Engineering and Computer Science,Bachelor’s Degree,"University of California, Berkeley",
177,80,2009-12-31,2013-12-31,,High School,Henry M. Gunn High School,
178,81,2014-12-31,2018-12-31,Computer Science,Bachelor's degree,Stanford University,
179,82,2018-12-31,2019-12-31,Computer Science,Master of Science - MS,Stanford University,
180,82,2014-12-31,2018-12-31,Computer Science,Bachelor of Science - BS,Stanford University,
181,82,,,,,Thomas Jefferson High School for Science and Technology,
182,83,2019-01-01,2021-12-31,Computer Science,Master of Mathematics - MMath,University of Waterloo,"Specialization: Artificial Intelligence - Natural Language ProcessingCoursework:CS 886 - Deep Learning and Natural Language ProcessingCS 885 - Reinforcement LearningCS 848 - Privacy & Fairness in Data ScienceCS 798 - AI: Law, Ethics & PolicyCS 858 - Surveillance and Privacy (Audited)CS 697 - Graduate Research Skills Seminar"
183,83,2015-01-01,2019-12-31,Information Technology,Bachelor of Engineering - BE,University of Mumbai,
184,84,2017-01-01,2022-12-31,Data Science,Bachelor's degree,University of Waterloo,President's Student Scholarship of Distinction
185,85,2017-01-01,2022-12-31,Computer Science,Bachelor of Computer Science,University of Waterloo,
186,86,2019-01-01,2021-12-31,Data Science and Big Data Analytics,Master's degree,"B.K. Birla College, Mumbai University",
187,86,2016-01-01,2019-12-31,Computer Science,Bachelor's degree,Birla College of Arts Science & Commerce Birla College Road Kalyan Dist Thane 421 304,
